time,coord_x,coord_y
25.61798,0.57265,0.550209
25.63185,0.573485,0.550188
25.6459,0.57427,0.550208
25.6597,0.575038,0.550199
25.67366,0.575788,0.550119
25.68762,0.576534,0.54997
25.70154,0.577235,0.549764
25.71557,0.577884,0.549542
25.72936,0.578461,0.549314
25.74341,0.578979,0.54908
25.75735,0.57943,0.548839
25.77117,0.5798,0.548603
25.7851,0.580108,0.548372
25.79894,0.580368,0.548152
25.81285,0.580623,0.547912
25.8269,0.580861,0.54763
25.84073,0.581062,0.547304
25.85485,0.581217,0.546938
25.86866,0.581336,0.546559
25.88269,0.58143,0.546193
25.89648,0.581479,0.545809
25.91053,0.58148,0.545391
25.92439,0.581442,0.544929
25.93817,0.581375,0.544433
25.9525,0.581273,0.543949
25.96613,0.581152,0.543534
25.98001,0.581001,0.54317
25.99391,0.580807,0.542804
26.00786,0.580555,0.542437
26.02186,0.580249,0.542064
26.03568,0.57987,0.541689
26.04959,0.579393,0.541313
26.06354,0.578851,0.540953
26.07743,0.578263,0.540611
26.0915,0.577599,0.540257
26.10522,0.576884,0.539901
26.11921,0.57604,0.539497
26.13309,0.575032,0.539049
26.14701,0.573907,0.53852
26.16106,0.572519,0.537847
26.1749,0.570883,0.536969
26.18881,0.568784,0.535781
26.20275,0.566172,0.534388
26.21674,0.563315,0.533015
26.23053,0.560459,0.53189
26.24465,0.557671,0.530891
26.25839,0.555112,0.530029
26.27246,0.552606,0.529152
26.28636,0.550128,0.528235
26.30017,0.547738,0.527351
26.31401,0.545438,0.526582
26.32813,0.543229,0.525923
26.34194,0.541117,0.525379
26.35591,0.539027,0.524815
26.36979,0.536941,0.524111
26.38371,0.534722,0.523127
26.39777,0.532178,0.521881
26.41159,0.529452,0.520528
26.42558,0.526594,0.519147
26.4394,0.523759,0.517806
26.45344,0.520893,0.516443
26.4673,0.518111,0.515052
26.48114,0.515301,0.513512
26.49519,0.512291,0.511731
26.50906,0.509295,0.509866
26.52307,0.50642,0.50804
26.53679,0.503869,0.506355
26.55079,0.501612,0.504795
26.56491,0.499701,0.503386
26.57865,0.497996,0.501979
26.59277,0.496222,0.500322
26.60651,0.494383,0.498352
26.6204,0.492546,0.496218
26.63437,0.490773,0.494035
